lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
106,1,85.7,4,28,4,3,0,0,3,1
109,1,88.01,5,2,4,2,1,0,3,1
40,0,85.5,10,10,3,2,1,0,0,1
137,1,147.9,7,29,4,7,3,1,3,1
38,1,78.3,1,14,4,3,0,0,0,1
1,1,115.89,8,17,4,1,0,0,0,1
35,0,85.5,4,4,3,3,1,0,0,1
1,2,159.38,11,8,4,4,0,3,0,1
54,0,118.6,5,16,4,1,1,0,1,1
35,2,128.7,4,18,4,1,1,0,3,1
67,1,89.24,3,26,3,1,0,0,0,1
55,0,104.0,4,6,3,1,0,1,0,1
220,1,90.95,8,9,4,5,0,0,0,0
127,0,90.0,4,28,3,3,1,0,0,0
43,1,119.0,10,25,4,1,0,0,0,1
185,0,60.0,3,25,3,2,1,0,3,1
75,0,65.0,6,15,2,1,0,0,0,1
143,0,100.0,8,25,3,3,0,0,0,1
129,2,124.2,8,16,4,5,0,0,3,1
267,0,95.0,9,30,3,2,1,0,0,0
58,1,131.4,6,28,4,4,0,0,3,1
172,1,82.45,8,21,3,1,2,0,3,1
69,0,59.5,3,24,3,3,1,0,0,1
55,1,75.0,4,3,3,1,2,0,0,1
8,0,130.0,11,5,3,1,0,0,0,1
40,0,70.0,10,5,3,1,1,0,0,1
7,1,0.0,1,29,1,2,0,0,3,1
26,2,95.0,9,5,4,1,1,0,0,1
9,3,141.0,6,17,4,2,1,0,0,1
277,2,82.17,10,18,4,5,1,3,0,1
377,1,115.0,10,14,3,2,0,1,0,0
6,0,67.0,10,6,2,1,0,0,0,1
3,1,145.0,9,22,4,3,0,0,0,1
193,1,99.45,8,18,4,3,1,0,0,1
25,4,155.67,9,16,4,2,1,0,0,1
147,1,126.9,9,14,4,5,2,0,0,1
157,0,107.95,7,6,4,4,0,0,0,0
69,2,137.7,7,27,4,3,0,0,3,1
11,1,156.0,6,20,4,1,1,0,3,0
1,1,0.0,9,1,1,1,0,0,0,1
6,0,89.0,1,7,4,3,0,0,0,1
7,1,88.4,12,4,4,3,2,0,0,1
46,0,112.5,3,18,4,2,0,0,3,0
72,0,108.0,9,18,3,1,0,1,0,1
79,0,75.0,4,27,3,3,0,0,0,1
77,1,93.6,11,19,4,1,1,0,0,1
0,0,85.0,1,19,4,1,0,0,0,1
43,0,106.8,3,17,4,3,0,0,3,1
5,0,90.0,10,19,3,2,1,0,0,1
59,0,101.1,6,27,4,2,1,3,0,0
118,1,58.9,8,26,4,4,0,0,0,0
55,0,168.3,9,20,4,3,0,0,3,0
32,1,0.0,11,7,1,0,1,3,3,1
84,1,134.1,8,4,4,2,0,0,3,1
71,2,152.1,9,2,4,2,1,0,0,1
29,2,139.0,10,21,4,2,0,0,0,1
127,1,114.3,7,10,4,0,2,0,0,1
51,0,75.0,11,16,3,4,0,0,0,1
29,0,98.0,4,12,4,3,0,3,0,0
151,0,71.0,1,19,3,2,0,0,0,1
73,1,135.9,5,18,4,2,0,0,0,1
108,3,127.38,9,24,4,3,2,0,1,1
39,0,101.5,8,14,3,2,0,1,0,1
30,1,126.9,5,15,4,2,2,0,0,0
71,0,120.0,6,14,3,3,0,0,0,1
6,0,65.0,11,17,2,2,0,0,0,1
194,0,163.2,8,26,4,2,2,0,5,0
145,0,36.25,8,29,3,1,2,1,0,1
56,0,185.0,9,25,3,2,2,0,0,1
0,0,124.0,8,21,4,2,1,0,0,0
317,1,106.2,9,1,4,3,0,0,0,0
270,0,80.0,4,20,3,4,0,0,0,1
56,0,130.05,4,23,4,2,2,0,0,0
19,1,139.0,9,23,4,2,1,0,0,1
51,0,90.9,3,29,4,1,0,0,0,0
8,0,65.0,9,15,2,1,0,0,0,1
103,0,78.3,3,18,4,2,1,0,0,1
201,1,103.5,8,9,4,2,0,3,0,0
37,1,159.3,3,25,4,1,0,0,3,0
71,0,95.0,9,22,3,3,0,0,0,1
1,1,138.5,8,15,3,1,2,1,0,1
46,1,105.3,4,21,4,2,0,0,0,1
0,0,111.6,8,11,4,1,0,0,0,1
381,1,69.5,12,23,4,2,1,0,1,0
24,0,107.1,9,26,4,1,1,3,0,0
259,0,90.0,5,5,3,3,0,0,0,0
331,2,110.78,12,27,4,5,1,0,3,0
134,0,65.0,12,4,3,2,2,0,0,1
3,0,145.0,3,17,4,2,0,0,3,0
221,0,73.0,8,12,3,1,0,1,0,1
45,2,125.1,6,1,4,1,0,0,0,1
18,1,146.0,5,10,4,3,0,0,3,1
2,0,91.38,11,25,4,4,2,0,0,1
83,0,123.9,6,3,4,2,1,0,0,1
125,1,84.58,7,18,3,5,2,1,0,1
37,0,105.0,10,13,3,3,0,0,0,1
275,0,110.0,4,17,3,0,2,1,0,0
32,0,73.0,11,20,3,2,0,0,0,1
20,1,91.63,7,19,4,2,0,0,0,1
31,1,148.69,9,26,4,3,1,0,5,1
57,1,135.9,8,10,4,2,0,0,0,1
36,1,100.95,10,9,4,1,2,0,0,1
12,0,67.0,10,12,2,1,0,0,0,1
69,0,59.5,3,20,3,2,2,0,0,1
44,0,131.58,4,10,4,3,2,0,0,0
128,1,99.9,5,12,4,1,0,0,0,1
18,0,89.0,9,12,4,0,1,3,0,1
20,0,77.6,1,29,4,2,0,0,3,1
39,2,91.45,12,27,4,2,2,0,1,1
164,0,100.0,10,2,3,2,0,0,0,1
1,0,91.0,2,13,4,1,1,0,0,1
193,0,120.0,6,20,3,2,1,0,0,0
59,0,168.3,9,24,4,1,1,0,3,0
83,1,96.3,4,7,4,2,0,0,0,1
125,1,210.6,9,2,4,2,2,0,5,0
22,2,87.78,10,21,4,3,0,3,0,1
30,1,72.0,2,28,3,1,2,0,0,1
1,0,120.0,6,2,4,1,0,0,0,1
6,0,0.0,12,10,4,2,0,1,0,1
83,1,97.75,3,21,4,3,1,3,0,1
18,1,67.22,2,9,4,2,0,0,0,1
10,0,110.0,5,29,2,5,3,0,0,1
116,0,61.0,2,28,3,1,2,0,0,0
46,1,80.3,1,22,4,2,0,0,0,1
21,0,133.5,9,29,4,4,0,0,0,0
234,1,103.7,10,25,4,4,0,0,3,0
31,1,156.15,6,30,4,3,1,0,3,1
64,0,101.52,9,28,3,3,0,0,0,1
30,0,140.0,6,2,3,2,0,0,0,1
10,2,173.0,2,27,4,1,1,0,5,1
56,0,109.8,8,28,4,1,2,0,0,0
184,1,139.5,8,17,4,1,0,1,0,0
73,1,60.98,12,3,4,1,0,3,0,1
33,0,95.0,1,25,2,1,1,0,0,1
25,2,108.0,9,12,4,0,1,0,0,1
163,0,115.0,10,15,3,1,0,0,0,0
14,0,107.0,12,27,4,2,2,0,0,1
55,0,79.0,7,7,2,1,0,0,0,1
217,2,63.75,11,20,4,2,2,3,0,0
17,0,84.0,9,14,3,2,1,0,0,1
1,1,170.0,9,19,4,1,2,0,3,1
96,0,99.45,3,24,4,3,1,0,3,1
107,0,120.0,6,10,3,2,0,0,0,1
1,0,78.5,1,8,4,2,1,3,0,1
3,1,136.0,10,11,4,0,1,0,3,1
0,0,133.0,12,10,4,1,0,0,3,1
108,1,86.4,6,26,4,2,2,0,3,1
146,0,75.0,12,29,3,3,0,0,0,1
181,0,120.0,10,11,3,2,0,0,0,0
1,2,91.38,11,20,4,2,2,0,0,1
80,0,140.4,5,21,4,1,2,0,3,0
3,0,123.0,6,20,4,0,1,3,0,1
20,0,84.0,7,4,2,1,1,0,0,1
292,0,86.7,12,13,4,4,0,0,3,0
4,0,65.0,11,17,2,3,0,0,0,1
45,0,126.0,10,3,4,2,1,0,0,0
17,2,151.0,6,30,4,7,2,0,0,1
0,0,109.0,8,14,3,2,0,1,0,1
100,1,140.0,9,28,3,4,0,1,0,1
152,2,114.63,7,21,4,5,2,0,3,0
19,1,145.0,9,5,4,1,1,0,3,0
29,0,132.05,9,9,4,2,0,3,0,0
1,0,85.0,2,12,3,2,1,0,0,1
9,0,81.0,1,16,4,11,4,0,0,1
10,0,148.5,3,26,4,2,2,0,3,0
185,0,103.5,12,16,4,2,1,0,3,1
1,2,228.0,8,24,4,1,0,0,5,1
26,2,169.52,9,28,4,4,1,0,6,0
189,0,72.25,8,8,3,3,1,0,0,1
20,1,68.85,11,11,4,5,2,0,0,1
85,1,42.5,10,6,3,3,1,0,0,1
7,1,99.2,3,16,4,3,0,0,3,1
64,0,63.75,7,12,3,2,0,3,0,1
291,0,115.0,8,19,3,2,0,1,0,0
47,0,105.3,4,11,4,1,1,0,0,0
22,3,130.9,11,16,4,4,0,0,3,1
153,1,109.8,7,22,4,2,0,0,0,0
148,1,114.3,8,9,4,3,0,0,0,1
0,1,110.0,9,27,2,1,0,0,3,1
0,0,93.0,1,17,4,0,1,0,0,1
0,2,88.0,12,28,4,1,0,3,0,1
127,1,91.48,10,2,4,3,2,0,0,1
1,0,75.0,11,1,2,1,0,0,0,1
33,1,61.6,2,23,4,4,0,0,3,1
73,0,75.0,12,1,3,3,0,0,0,1
93,2,121.5,7,12,4,2,0,0,0,1
34,0,169.2,11,7,4,2,1,0,0,1
308,2,78.3,11,23,4,3,0,0,0,0
4,1,151.0,8,5,4,2,2,0,0,1
50,1,139.5,10,8,4,1,2,0,3,0
181,2,76.5,8,17,4,0,1,0,0,1
9,1,81.0,2,12,4,2,0,3,0,1
1,0,67.0,9,6,2,2,0,0,0,1
93,0,115.0,10,15,3,1,2,0,0,0
19,0,90.0,10,6,3,3,0,0,0,1
36,0,91.0,10,13,3,3,0,1,0,1
72,1,135.9,9,10,4,1,1,0,0,1
18,1,169.0,6,30,4,3,0,0,0,1
116,0,61.0,2,28,3,2,2,0,0,0
2,0,169.33,8,15,4,2,1,3,0,1
131,1,128.7,8,25,4,3,1,0,3,1
149,0,105.9,7,20,4,3,0,0,0,0
1,0,71.7,1,27,4,2,0,0,0,1
77,1,96.3,4,25,4,1,1,0,0,1
164,0,99.45,5,2,4,3,1,0,0,0
50,2,189.9,6,3,4,2,1,0,5,1
1,0,198.0,9,22,3,3,1,0,3,1
19,0,119.0,12,31,4,2,2,0,3,1
41,3,189.9,6,27,4,1,1,0,5,1
386,0,90.0,10,23,3,0,2,1,0,1
191,0,116.0,6,3,3,2,1,0,0,0
106,0,62.0,1,5,3,5,0,0,3,1
20,1,231.0,7,6,4,1,0,0,5,1
106,1,82.45,7,27,3,3,0,0,3,1
40,0,65.0,3,13,2,1,2,0,0,1
37,0,148.95,4,27,4,4,0,0,3,0
156,0,170.28,8,17,4,4,2,0,5,0
32,0,85.0,7,18,3,1,1,0,0,1
97,0,80.75,5,29,3,3,2,0,0,1
5,1,89.0,4,5,2,1,0,0,0,1
27,0,120.0,6,9,3,1,0,0,0,1
100,0,136.0,5,19,4,3,1,0,0,0
120,0,121.5,7,14,4,2,0,0,0,0
166,0,100.12,8,18,4,6,2,0,0,0
4,0,162.0,9,2,4,3,2,0,3,1
8,1,65.0,3,30,2,5,2,0,0,1
44,0,75.0,2,17,3,3,0,0,0,1
33,3,57.6,12,1,4,3,1,3,0,1
4,1,110.11,9,12,4,0,1,0,0,1
273,0,95.0,5,13,3,2,1,0,0,0
1,0,92.11,6,12,4,3,2,0,0,1
102,0,101.5,10,16,3,2,0,1,0,0
32,1,130.0,11,11,4,2,0,0,0,0
33,0,59.0,1,25,2,1,1,0,0,1
49,1,168.3,8,20,4,3,2,0,3,0
13,0,137.0,7,8,4,1,0,3,0,0
46,0,100.62,8,29,4,4,1,3,0,1
12,0,68.0,11,2,3,5,1,0,0,1
21,2,107.42,8,30,4,1,0,0,0,1
2,0,131.0,5,30,4,0,1,0,0,1
102,0,80.0,10,16,3,2,0,1,0,0
56,1,72.76,10,15,4,3,0,0,0,0
273,0,109.0,7,17,3,2,0,1,0,0
21,0,116.1,10,4,4,3,0,3,0,0
139,1,96.3,7,4,4,0,1,0,0,1
103,0,94.5,7,18,3,1,2,1,0,0
84,1,90.9,10,26,4,3,0,0,0,1
12,1,65.0,6,14,2,2,0,0,0,1
76,1,72.25,11,1,4,2,2,0,0,1
143,0,90.0,11,12,4,1,2,0,0,0
3,0,77.77,11,2,4,1,1,0,0,1
65,0,118.8,4,16,4,1,0,0,3,0
150,1,135.0,8,17,4,2,0,0,0,1
35,1,117.0,9,25,4,1,2,0,0,1
60,1,99.9,6,21,4,3,0,0,0,1
53,1,126.9,5,17,4,1,0,0,0,1
33,0,90.95,8,30,3,3,0,0,3,1
130,0,159.3,6,9,4,2,0,0,3,0
193,0,65.0,10,15,3,3,0,0,0,0
2,1,109.61,12,29,4,2,0,0,0,1
9,0,91.0,6,23,4,1,0,0,0,0
70,0,100.0,6,3,3,2,0,0,0,1
1,2,0.0,1,22,1,1,0,0,3,1
43,4,88.4,11,30,4,4,0,0,0,1
163,0,84.15,8,23,4,5,0,3,0,0
115,1,126.9,5,13,4,2,0,0,0,1
68,0,140.4,5,13,4,2,1,0,3,0
61,1,78.9,2,29,4,2,1,0,0,0
98,2,137.7,7,24,4,1,2,0,3,1
245,0,110.0,7,6,3,4,2,0,0,0
386,1,115.0,10,23,4,0,2,1,0,0
280,0,110.0,9,19,3,2,1,0,0,0
64,1,168.3,9,16,4,2,0,0,3,1
4,1,87.0,1,8,4,2,0,0,0,1
15,1,95.0,6,14,4,1,0,0,0,1
33,0,108.9,5,25,4,1,0,0,0,1
51,0,71.22,3,13,4,7,4,0,3,1
147,2,129.6,9,25,4,2,2,0,0,1
97,0,173.7,11,16,4,2,0,1,3,0
179,0,127.8,8,31,4,2,0,0,0,0
145,2,190.8,8,17,4,2,0,0,5,1
116,0,60.0,2,28,3,1,2,0,0,0
85,1,85.0,10,6,3,3,1,0,0,1
43,2,194.3,11,1,4,3,0,1,3,1
43,0,60.0,1,21,3,3,0,0,0,1
91,1,118.8,7,13,4,4,0,0,3,1
28,0,118.15,8,29,4,3,1,0,0,0
39,0,76.5,3,11,4,2,1,0,0,0
13,0,71.0,1,20,3,1,0,0,0,1
3,1,145.0,9,21,4,3,1,0,0,1
119,0,90.9,4,15,4,2,0,0,0,0
36,0,71.0,1,19,3,2,0,0,0,1
0,1,82.45,11,3,4,4,0,0,3,1
247,1,115.0,6,6,3,1,1,1,0,0
61,0,94.78,4,26,4,4,0,3,0,0
47,1,101.7,6,21,4,1,0,0,0,1
16,1,95.0,10,31,4,1,0,0,0,1
102,0,101.34,12,26,4,3,1,0,1,0
188,0,130.0,6,15,3,2,0,0,0,0
99,0,65.0,10,30,4,2,2,0,0,0
112,1,97.75,12,6,4,4,0,0,3,0
155,2,173.25,7,7,4,3,1,1,0,0
12,0,95.0,10,12,2,3,1,0,0,1
1,2,191.0,7,20,4,1,0,0,5,1
273,0,109.0,7,17,4,2,0,1,0,0
119,1,85.5,8,13,4,3,0,0,0,1
23,0,66.0,2,7,3,1,2,0,0,1
180,1,100.0,5,2,3,1,1,0,0,1
74,0,109.0,9,18,3,2,0,1,0,1
11,1,65.0,2,15,2,0,1,0,0,1
4,1,80.0,8,8,4,1,2,3,0,1
32,0,81.9,3,17,4,2,0,0,0,1
5,0,65.0,11,23,2,0,1,0,0,1
14,1,136.0,10,5,4,2,1,0,3,1
40,3,100.8,11,4,4,2,0,0,0,1
14,0,65.0,11,16,2,1,0,0,0,1
95,1,82.07,4,27,4,4,0,0,3,0
124,0,82.13,4,12,4,5,0,0,1,1
265,1,115.0,6,24,3,2,0,1,0,0
1,0,125.0,5,31,4,1,0,0,0,1
