lead_time,avg_price_per_room,no_of_special_requests,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,arrival_year,no_of_adults,booking_status
2,0.0,1,9,10,1,1,0,2017,1,1
86,75.0,0,12,18,3,1,2,2018,2,1
30,157.5,2,10,5,4,3,0,2018,2,1
179,97.7,1,6,3,4,2,0,2018,2,1
26,142.0,0,4,15,4,2,0,2018,2,0
55,80.0,0,4,6,3,1,0,2018,2,1
74,85.5,1,4,25,4,2,1,2018,2,1
143,100.0,0,8,25,3,3,0,2018,2,1
34,88.0,2,11,14,4,0,1,2018,2,1
30,122.85,1,8,29,4,1,1,2018,2,1
177,100.0,0,6,3,4,2,0,2018,2,0
34,75.0,0,10,25,3,3,2,2017,2,1
18,116.8,1,3,9,4,4,1,2018,2,1
267,121.5,0,12,31,4,1,1,2018,3,1
64,111.9,1,6,27,4,2,1,2018,2,1
155,121.55,2,6,28,4,5,2,2018,3,0
46,75.0,1,3,29,3,5,0,2018,2,1
83,159.3,0,4,1,4,2,0,2018,2,0
128,132.3,0,10,11,4,5,0,2018,2,0
20,88.0,2,12,25,4,0,2,2018,2,1
40,98.82,0,3,14,4,4,1,2018,2,1
46,98.3,1,3,4,4,2,1,2018,2,1
1,150.0,2,10,17,4,0,1,2018,1,1
196,96.05,1,9,4,4,3,2,2018,2,1
188,130.0,0,6,15,4,2,0,2018,1,0
17,95.0,0,12,10,4,1,0,2018,2,1
146,113.56,0,8,9,3,3,0,2018,2,1
110,101.58,1,5,5,4,3,1,2018,2,1
68,105.3,0,3,18,4,2,1,2018,2,1
73,115.8,1,4,9,4,1,2,2018,2,1
92,149.4,1,5,19,4,1,0,2018,2,1
171,111.59,0,8,30,4,5,2,2018,2,0
134,130.5,2,8,4,4,2,0,2018,2,1
320,115.0,1,8,18,4,2,0,2018,2,0
118,90.95,1,4,13,4,4,0,2018,2,1
30,76.08,1,11,17,4,3,0,2018,2,1
30,156.9,0,12,22,4,3,1,2018,2,1
189,85.5,2,10,23,4,0,1,2018,2,1
55,159.3,2,5,13,4,2,1,2018,3,1
55,74.8,2,12,13,4,4,0,2018,1,1
16,95.0,1,10,31,4,1,0,2017,2,1
24,107.0,1,10,8,4,3,0,2017,2,1
8,64.0,0,2,16,3,3,0,2018,2,1
10,82.95,0,11,2,4,4,1,2017,2,1
0,155.0,1,9,21,4,3,1,2017,2,1
12,101.68,1,6,30,4,1,0,2018,2,1
32,94.5,3,9,5,4,1,2,2017,2,1
182,117.9,2,9,30,4,2,0,2018,2,0
1,127.0,1,6,27,4,0,1,2018,2,1
122,116.1,2,6,16,4,3,0,2018,2,1
40,117.9,1,6,30,4,3,2,2018,2,1
116,184.24,1,6,26,4,2,2,2018,2,0
123,155.7,1,8,13,4,2,2,2018,3,1
40,135.76,0,4,22,4,5,2,2018,3,0
105,102.83,3,11,12,4,5,2,2018,2,1
443,65.0,0,4,29,4,1,0,2018,2,0
2,103.0,1,11,14,4,3,2,2017,2,1
317,106.2,1,9,1,4,3,0,2018,2,0
286,58.5,0,9,16,3,2,0,2018,2,1
68,73.95,0,3,10,4,3,1,2018,2,0
148,105.3,0,5,5,4,3,0,2018,2,1
68,133.2,2,4,24,4,0,2,2018,3,1
30,85.5,0,3,30,3,2,0,2018,2,1
14,112.0,1,11,3,4,1,0,2018,1,0
110,190.8,0,10,14,4,2,0,2018,2,0
117,110.0,0,6,5,3,3,2,2018,1,1
85,91.48,1,7,13,4,4,1,2018,2,1
1,135.0,2,10,20,4,2,0,2018,2,1
25,129.0,2,10,17,4,2,1,2018,1,1
289,70.55,2,12,28,4,4,2,2018,2,0
28,75.0,0,10,19,3,4,1,2017,2,1
80,72.25,0,3,29,4,4,0,2018,1,1
11,155.0,2,10,9,4,1,0,2017,2,1
162,121.5,2,7,25,4,0,1,2018,2,0
155,90.95,2,6,28,4,5,2,2018,2,1
82,109.65,0,5,22,4,2,2,2018,1,1
27,142.72,0,4,15,4,4,2,2018,3,0
13,90.0,0,5,9,3,2,1,2018,1,1
245,75.0,0,6,17,4,2,0,2018,2,0
11,111.0,1,11,18,4,2,0,2018,2,0
266,86.7,2,10,30,4,2,2,2018,2,1
39,117.9,1,3,28,4,0,1,2018,2,1
13,0.0,1,6,1,1,2,0,2018,1,1
112,101.58,1,5,4,4,4,0,2018,2,1
88,58.9,1,4,8,4,2,1,2018,2,1
56,120.0,0,6,8,3,1,0,2018,2,1
73,107.1,0,4,7,4,3,2,2018,2,0
80,126.9,1,5,2,4,1,1,2018,2,1
130,139.5,2,9,29,4,3,0,2018,2,0
69,80.75,1,4,4,4,3,1,2018,2,1
273,109.0,0,7,17,4,2,0,2017,2,0
55,104.0,0,4,6,3,1,0,2018,2,1
4,65.0,1,11,1,2,3,0,2018,1,1
97,140.4,0,5,24,4,3,0,2018,2,1
44,75.0,0,2,17,3,3,0,2018,2,1
31,94.5,0,4,14,4,1,0,2018,2,0
0,109.0,0,6,5,4,0,1,2018,2,1
62,105.0,2,11,12,4,2,2,2018,2,1
86,107.95,1,4,17,4,2,2,2018,2,1
3,215.6,1,10,7,4,2,2,2018,3,1
197,85.5,1,8,1,4,1,1,2018,2,1
143,105.3,2,7,12,4,2,0,2018,2,1
23,1.0,0,1,2,4,1,2,2018,1,1
8,156.0,0,6,15,4,2,0,2018,2,0
13,73.15,1,11,16,4,2,0,2018,1,1
280,110.0,0,9,19,4,2,1,2018,2,0
11,87.4,1,9,13,4,0,1,2017,2,1
317,120.0,0,9,15,4,2,0,2018,2,0
185,79.2,0,12,16,4,2,1,2018,2,0
160,90.95,1,6,30,4,3,1,2018,2,1
104,91.48,1,10,18,4,4,0,2018,2,1
11,150.0,1,11,5,4,1,0,2018,2,0
2,89.0,0,3,22,4,1,0,2018,2,1
14,91.43,1,8,17,4,4,1,2018,2,1
22,140.0,0,5,20,3,2,0,2018,2,1
37,87.78,0,10,24,4,5,2,2017,1,1
292,115.0,0,7,21,4,2,0,2018,2,0
11,80.85,1,9,9,4,3,0,2017,2,1
86,82.45,1,3,31,4,3,1,2018,2,1
109,108.0,0,10,11,4,1,0,2018,2,0
72,96.3,1,4,2,4,1,1,2018,2,1
196,99.45,0,8,22,4,5,1,2018,2,0
56,140.4,1,5,13,4,2,0,2018,2,1
189,72.25,0,8,8,3,3,1,2018,2,1
126,126.0,0,8,15,4,4,1,2018,2,1
303,78.0,0,8,19,4,3,2,2018,2,0
81,146.6,1,11,6,4,2,2,2018,1,1
54,118.8,0,10,10,4,2,1,2018,2,0
15,145.0,0,10,6,4,1,0,2018,1,0
86,84.58,0,4,6,4,4,0,2018,2,0
161,130.0,0,3,25,4,2,1,2018,2,0
147,118.88,1,8,3,4,10,4,2018,2,0
92,101.52,0,5,30,3,2,1,2018,2,1
87,100.0,0,9,11,2,1,0,2017,2,0
109,58.0,0,3,20,3,1,2,2018,2,1
127,61.5,2,3,23,3,4,0,2018,2,1
418,107.0,0,9,26,4,2,1,2018,2,0
156,87.3,1,8,24,4,4,1,2018,2,1
80,76.5,1,7,16,4,2,0,2017,2,0
211,63.75,0,12,16,4,2,2,2018,2,0
273,95.0,0,5,13,4,2,1,2018,2,0
58,75.0,1,11,19,3,1,2,2018,2,1
433,70.0,0,9,8,4,3,0,2018,2,0
111,101.58,1,5,2,4,3,1,2018,2,1
34,85.0,0,8,21,3,3,2,2018,2,1
17,98.39,0,12,3,4,4,2,2018,2,1
4,0.0,1,2,27,1,0,0,2018,1,1
6,106.07,1,9,22,4,3,0,2017,2,1
32,105.0,1,7,18,3,1,1,2018,2,1
4,145.0,2,9,22,4,1,0,2017,2,1
195,106.03,1,8,13,4,1,2,2018,3,0
119,114.3,1,8,13,4,2,2,2018,2,1
13,88.0,0,12,5,4,1,1,2018,1,1
59,89.25,2,10,15,4,2,0,2017,2,1
78,86.32,1,3,20,4,5,2,2018,2,1
335,90.0,1,10,13,3,3,0,2018,2,1
103,55.96,0,8,22,4,5,2,2017,2,1
0,109.0,1,6,8,4,2,0,2018,1,1
118,86.0,0,3,1,3,1,0,2018,2,1
56,118.95,0,9,5,4,5,1,2018,2,1
107,130.0,1,6,10,3,2,0,2018,2,1
70,90.56,1,4,14,4,3,1,2018,2,1
76,87.3,1,4,1,4,2,0,2018,2,1
144,177.65,1,5,27,4,2,2,2018,2,0
4,200.75,2,9,19,4,2,2,2017,1,1
15,127.0,1,3,18,4,2,0,2018,2,1
32,72.9,0,2,5,4,2,1,2018,1,0
49,159.3,0,5,7,4,1,1,2018,3,0
77,135.15,1,5,12,4,3,1,2018,2,1
22,90.0,0,10,28,3,2,0,2018,1,1
0,114.0,0,10,18,4,0,1,2017,2,1
58,125.1,1,6,21,4,1,0,2018,2,1
4,95.13,1,8,14,4,6,2,2017,2,1
117,105.84,0,4,29,4,2,0,2018,2,0
36,102.0,0,12,26,4,3,1,2018,2,0
35,74.8,2,12,2,4,2,2,2018,2,1
31,94.5,0,4,24,4,0,1,2018,2,0
79,120.6,0,6,16,4,4,2,2018,2,1
1,139.33,0,10,9,4,2,1,2017,2,1
21,105.0,0,9,3,4,2,0,2017,2,1
12,100.0,1,9,14,2,2,0,2018,2,1
33,80.3,1,2,8,4,0,1,2018,2,1
164,100.0,0,10,2,3,2,0,2017,1,1
78,105.3,1,3,24,4,3,0,2018,2,1
18,112.8,0,5,31,4,4,0,2018,2,0
21,151.0,0,8,15,4,2,1,2018,2,0
0,91.0,1,11,9,4,3,1,2017,1,1
152,146.7,1,8,13,4,1,2,2018,3,0
43,58.4,0,10,2,3,3,2,2017,2,1
177,80.75,1,7,26,4,4,0,2018,2,0
47,76.5,0,5,21,3,1,1,2018,2,1
57,140.13,0,9,7,4,3,0,2018,3,1
60,76.0,1,11,15,4,4,2,2017,2,1
0,200.0,0,9,16,4,1,0,2017,2,1
102,101.5,0,10,16,4,2,0,2017,2,0
71,108.0,1,10,18,4,3,0,2018,2,1
111,189.0,1,7,23,4,3,2,2018,3,1
1,166.0,3,6,11,4,1,1,2018,3,1
4,67.5,0,1,16,4,1,1,2018,2,1
25,78.54,1,9,14,4,3,1,2017,2,1
209,152.1,1,11,6,4,2,2,2018,1,0
93,115.0,0,10,15,4,1,2,2018,1,0
53,66.53,2,9,2,4,5,2,2017,2,1
1,0.0,1,8,12,1,2,0,2017,1,1
4,0.0,1,8,23,1,1,2,2017,1,1
302,90.3,2,12,29,4,3,0,2018,2,0
122,85.0,0,4,15,3,2,0,2018,2,1
16,75.0,0,3,11,2,1,0,2018,1,1
28,115.37,1,8,28,4,4,2,2018,2,0
161,130.0,0,3,25,4,2,1,2018,2,0
57,126.0,2,12,9,4,2,0,2018,3,1
19,94.35,1,6,12,4,0,1,2018,2,1
109,118.46,4,7,6,4,4,2,2018,3,1
239,90.6,0,6,15,4,2,0,2018,1,0
33,82.9,2,3,5,4,1,2,2018,1,1
11,95.33,1,8,18,4,3,0,2017,2,1
40,135.64,1,4,21,4,5,2,2018,3,1
45,122.4,0,6,18,3,1,1,2018,3,1
41,116.1,0,5,9,4,3,1,2018,2,0
167,62.18,0,6,28,4,4,0,2018,2,0
62,63.75,0,3,9,4,4,0,2018,2,0
113,118.8,0,9,7,4,4,1,2018,1,0
1,167.0,0,8,10,4,2,0,2018,2,1
84,187.85,1,5,13,4,2,2,2018,2,1
68,108.38,1,4,24,4,2,2,2018,0,0
9,0.0,1,9,7,1,1,0,2018,2,1
245,128.7,0,10,28,4,2,1,2018,3,0
80,80.33,1,3,17,4,3,1,2018,2,1
7,140.0,1,8,22,4,1,1,2018,2,0
128,76.5,2,8,8,4,1,1,2017,2,1
100,105.3,1,5,1,4,1,2,2018,2,1
118,87.3,1,4,3,4,1,2,2018,2,0
166,110.0,0,11,1,4,3,0,2018,1,0
41,83.0,0,9,4,3,1,0,2017,1,1
174,99.45,1,8,13,4,2,2,2018,2,1
27,104.5,3,12,27,3,1,2,2017,2,1
2,92.54,2,11,16,4,6,2,2018,2,1
37,95.0,0,10,13,3,3,0,2018,1,1
188,130.0,0,6,15,4,2,0,2018,1,0
68,63.0,1,1,2,3,1,2,2018,2,1
189,109.8,0,10,28,4,2,1,2018,2,0
10,103.0,0,5,16,4,0,1,2018,2,1
19,130.0,1,2,20,4,1,2,2018,3,1
61,117.0,0,3,23,4,2,0,2018,2,0
95,60.5,0,12,29,3,4,0,2017,2,1
83,112.2,0,9,30,3,1,0,2017,2,1
37,135.9,0,8,1,4,3,1,2018,2,0
19,151.0,1,7,25,4,0,1,2018,2,0
22,239.0,2,9,16,4,2,0,2018,2,1
22,59.09,0,12,26,4,1,2,2017,2,1
151,103.09,0,7,9,4,5,2,2018,2,0
26,87.0,0,2,28,3,1,2,2018,2,1
27,137.0,0,4,17,4,0,1,2018,3,0
79,109.0,0,6,24,3,2,0,2018,2,1
247,115.0,1,6,6,4,1,1,2018,2,0
189,99.45,1,7,17,4,3,2,2018,2,1
320,115.0,1,8,18,4,2,0,2018,2,0
27,130.0,2,2,22,4,2,1,2018,3,1
51,65.0,0,5,22,2,0,1,2018,1,1
245,75.0,0,6,17,4,2,0,2018,2,0
52,132.9,0,7,8,4,2,1,2018,2,0
13,120.0,0,10,18,4,0,2,2017,1,1
46,79.2,1,11,11,4,2,0,2018,2,0
84,159.3,0,8,28,4,1,2,2018,3,0
188,130.0,0,6,15,4,2,0,2018,1,0
19,90.0,0,10,6,3,3,0,2017,2,1
67,140.4,1,5,27,4,2,0,2018,2,1
0,75.0,0,8,11,4,1,0,2017,2,1
273,109.0,0,7,17,4,2,0,2017,2,0
110,94.5,0,7,25,4,1,2,2017,2,0
0,75.0,0,12,15,2,1,0,2017,1,1
32,75.0,1,10,23,3,2,1,2017,2,1
282,76.67,0,10,10,3,1,2,2017,2,1
38,126.0,0,10,2,4,2,2,2018,2,1
175,85.5,1,7,23,4,1,1,2018,2,1
143,140.7,0,8,18,4,3,0,2018,2,0
127,103.7,1,6,26,4,2,2,2018,2,1
0,142.0,0,9,8,4,1,0,2017,1,1
95,103.7,3,12,21,4,5,2,2018,2,1
118,110.0,0,6,6,3,2,1,2018,1,1
45,75.0,0,11,10,3,3,0,2018,2,1
69,137.7,0,7,25,4,1,1,2018,3,1
57,87.3,3,9,7,4,1,0,2018,2,1
5,0.0,4,8,24,1,2,0,2018,1,1
39,101.5,0,8,14,3,2,0,2017,2,1
0,97.0,1,2,24,4,1,0,2018,2,1
89,150.3,1,8,15,4,1,1,2018,3,1
85,82.45,0,3,29,4,4,0,2018,2,1
4,103.0,1,7,1,2,1,0,2018,1,1
11,145.0,0,7,5,4,6,2,2018,1,0
12,145.0,1,7,11,4,1,1,2018,1,1
77,134.85,1,5,14,4,2,2,2018,2,1
14,168.25,1,10,22,4,1,1,2018,2,1
1,60.0,0,2,28,4,1,2,2018,1,0
133,76.0,0,6,13,3,3,1,2018,2,1
3,63.5,1,8,10,3,2,1,2017,2,1
19,95.0,0,9,18,3,0,2,2018,2,1
86,90.95,3,9,3,3,2,2,2018,2,1
23,98.4,2,10,16,4,2,0,2017,2,1
65,135.9,1,9,22,4,1,0,2018,2,1
1,130.0,1,11,16,4,2,0,2018,2,1
66,81.9,2,11,19,4,1,0,2017,2,1
50,78.85,1,2,22,4,4,1,2018,3,1
87,141.3,0,6,26,4,3,2,2018,2,0
159,70.0,1,4,9,3,1,1,2018,2,1
39,170.1,2,8,13,4,3,2,2018,2,1
386,115.0,1,10,23,4,0,2,2018,2,0
22,199.0,0,12,29,4,5,0,2017,2,1
102,82.45,0,7,10,3,2,2,2018,2,1
86,192.86,1,10,20,4,3,0,2018,4,1
56,185.0,0,9,25,3,2,2,2017,2,1
36,68.07,1,12,10,4,6,2,2018,2,1
50,118.8,1,10,4,4,3,0,2018,2,1
115,104.4,0,10,27,4,2,0,2018,2,0
0,65.0,0,3,23,2,1,0,2018,1,1
35,71.1,0,3,3,4,3,1,2018,2,0
17,95.0,0,5,21,3,1,2,2018,2,1
237,116.62,1,9,13,4,11,4,2018,2,0
125,136.0,2,9,7,4,4,0,2018,2,1
32,147.9,0,12,2,4,2,2,2018,2,0
5,123.7,0,9,18,3,0,2,2018,2,1
91,135.9,0,6,19,4,1,2,2018,2,0
102,109.0,0,10,16,3,2,0,2017,2,1
9,186.0,1,3,20,4,1,2,2018,3,1
155,115.6,1,12,26,4,3,1,2018,3,0
0,221.0,0,5,14,4,1,0,2018,2,0
11,65.0,0,9,15,2,3,0,2017,1,1
0,80.0,0,2,19,2,1,0,2018,1,1
86,73.83,0,3,23,3,4,1,2018,2,1
18,67.0,0,10,18,2,1,0,2018,1,1
58,80.3,1,3,4,4,2,0,2018,2,1
54,85.0,0,4,30,3,1,2,2018,2,1
25,152.1,1,7,23,4,3,2,2018,2,0
107,89.25,1,9,9,4,2,0,2017,2,1
100,110.0,0,9,28,3,4,0,2018,1,1
273,95.0,0,5,13,4,2,1,2018,2,0
29,79.0,0,3,18,4,1,0,2018,2,1
221,80.0,0,8,12,4,1,0,2018,2,0
213,102.85,2,10,1,4,2,2,2018,2,0
198,90.0,0,9,9,4,2,1,2018,2,0
81,62.37,2,1,29,4,2,1,2018,2,1
23,98.0,0,4,8,4,1,0,2018,2,1
26,117.67,1,9,17,4,3,0,2017,2,0
20,141.0,1,6,18,4,1,2,2018,2,1
124,156.61,2,12,26,4,3,1,2018,2,0
85,152.1,0,8,3,4,3,0,2018,3,0
167,105.3,0,8,6,4,1,0,2018,2,0
71,119.85,1,5,30,4,3,1,2018,2,1
48,97.2,2,11,4,4,2,0,2018,2,1
37,116.1,0,5,13,4,1,0,2018,1,1
76,150.45,0,5,29,4,2,2,2018,3,0
13,71.0,0,1,20,3,1,0,2018,1,1
3,0.0,0,6,27,1,0,1,2018,1,1
75,60.0,0,12,7,3,2,1,2017,2,1
5,89.0,1,4,5,2,1,0,2018,1,1
386,115.0,1,10,23,4,0,2,2018,2,0
180,100.0,1,5,2,3,1,1,2018,2,1
122,75.9,2,11,14,4,3,1,2018,2,0
224,65.0,0,10,2,3,2,1,2017,2,1
24,104.55,2,5,29,4,2,2,2018,2,1
162,115.0,0,10,14,4,2,2,2018,1,0
25,187.0,0,7,2,4,1,1,2018,3,0
1,115.0,0,8,4,4,1,0,2018,1,1
236,84.43,1,9,27,4,4,0,2018,2,0
120,90.95,0,4,8,4,3,2,2018,2,0
12,208.0,1,3,24,4,3,1,2018,2,1
224,97.18,1,9,3,4,4,2,2018,2,0
33,79.11,0,10,21,3,4,0,2017,1,1
24,0.0,0,5,13,1,2,0,2018,2,1
22,120.0,1,9,8,4,1,0,2017,2,1
10,126.0,1,10,20,4,3,0,2017,2,1
15,91.0,1,2,16,4,2,0,2018,2,0
230,137.0,0,9,6,4,5,0,2018,2,0
54,67.32,0,3,16,3,4,0,2018,2,1
45,81.62,0,10,23,4,1,0,2017,2,1
63,123.66,2,10,24,4,3,1,2018,3,1
166,94.5,1,8,6,4,1,2,2018,2,1
148,96.3,0,8,22,4,4,1,2018,2,0
136,88.01,1,8,13,4,1,2,2018,2,1
37,81.9,2,3,10,4,3,1,2018,2,1
66,119.85,1,5,11,4,4,0,2018,2,1
11,83.5,0,10,23,3,1,0,2017,1,1
1,67.0,1,4,1,2,1,0,2018,1,1
7,156.0,1,6,19,4,2,2,2018,2,1
43,85.0,0,10,13,3,1,0,2017,2,1
5,126.75,0,4,4,4,5,3,2018,2,0
247,115.0,1,6,6,4,1,1,2018,2,0
24,107.1,1,10,16,4,1,2,2018,2,0
53,120.0,0,10,14,3,1,0,2018,1,1
52,93.6,2,11,19,4,1,2,2018,2,1
56,120.0,0,6,8,3,1,0,2018,2,1
12,90.0,1,6,8,3,1,0,2018,1,1
230,137.0,1,9,6,4,5,0,2018,2,0
92,106.43,1,10,31,4,3,1,2018,2,0
2,87.78,0,5,31,4,3,0,2018,1,1
74,101.5,0,9,18,3,2,0,2017,2,1
82,85.5,0,6,23,4,1,0,2018,2,0
37,95.0,0,10,13,3,3,0,2018,1,1
147,103.7,2,7,1,4,2,2,2018,2,1
2,65.0,0,8,26,2,1,0,2017,1,1
166,100.12,0,8,18,4,6,2,2018,2,0
28,156.25,2,4,11,4,3,1,2018,2,1
309,101.0,0,5,13,4,2,1,2018,2,0
54,161.1,0,7,4,4,3,1,2018,2,1
49,83.8,2,12,8,4,3,1,2018,2,1
1,168.0,2,6,18,4,1,0,2018,2,1
0,58.0,0,12,27,3,1,2,2017,2,1
4,94.5,0,8,8,3,1,2,2017,2,1
60,96.3,1,12,9,4,4,0,2017,2,1
157,76.5,1,8,14,4,1,0,2017,2,1
268,78.0,0,4,8,3,3,2,2018,2,1
38,112.59,0,9,26,4,1,1,2018,2,0
30,187.04,0,6,12,4,1,2,2018,2,0
2,169.0,2,10,11,4,1,0,2018,2,1
217,46.63,1,12,5,4,7,3,2018,2,1
143,100.0,0,8,25,3,3,0,2018,2,1
179,85.5,2,10,19,4,3,0,2018,2,1
188,130.0,0,6,15,4,2,0,2018,1,0
94,146.7,1,7,8,4,2,2,2018,3,1
32,73.0,0,11,20,3,2,0,2017,1,1
2,143.22,2,4,1,4,2,2,2018,3,1
70,89.25,1,10,22,4,3,0,2017,2,1
4,85.0,0,9,19,3,0,1,2018,2,1
34,6.5,1,2,28,1,0,2,2018,2,1
16,83.03,0,3,8,4,1,0,2018,2,0
24,91.0,0,2,11,4,3,1,2018,2,0
78,80.75,1,4,10,4,2,2,2018,2,1
305,89.0,0,11,4,4,2,1,2018,2,0
37,105.0,0,10,13,3,3,0,2018,2,1
98,109.81,0,4,30,4,5,2,2018,2,1
14,70.88,0,12,5,4,3,1,2018,2,1
44,83.6,2,11,23,4,2,0,2018,1,1
1,60.0,0,2,28,4,1,2,2018,1,0
213,130.0,0,6,7,4,3,0,2018,2,0
5,95.0,1,4,4,4,1,1,2018,1,1
55,104.0,0,4,6,3,1,0,2018,2,1
139,62.0,1,2,11,3,3,0,2018,2,1
44,95.0,0,4,23,3,1,2,2018,2,1
18,145.0,1,2,28,4,1,2,2018,1,1
0,95.0,0,10,17,2,0,1,2018,1,1
192,95.0,0,6,24,3,2,0,2018,1,1
152,80.75,0,6,18,3,4,2,2018,2,1
42,142.2,2,8,30,4,4,0,2018,3,1
209,128.7,1,10,21,4,3,2,2018,3,0
69,90.95,1,3,20,4,3,2,2018,2,1
80,93.6,2,11,18,4,2,1,2018,2,1
49,60.0,0,11,9,3,2,1,2017,2,1
143,90.0,0,8,25,3,3,0,2018,1,1
67,95.4,2,12,5,4,1,2,2017,2,1
41,160.0,1,10,21,4,2,0,2018,2,0
154,104.1,2,10,30,4,1,2,2018,2,0
55,104.0,0,4,6,3,1,0,2018,2,1
2,109.0,0,8,3,3,4,0,2018,2,1
99,93.78,1,4,10,4,4,2,2018,2,0
14,95.0,0,10,14,2,2,0,2017,1,1
0,140.0,0,10,15,4,1,0,2018,1,1
22,87.0,1,12,24,4,3,1,2017,2,1
7,85.85,1,3,5,4,1,2,2018,1,1
84,99.45,0,3,24,4,3,1,2018,2,1
109,120.28,1,5,4,4,4,0,2018,2,1
71,120.0,0,6,14,3,3,0,2018,1,1
4,77.77,1,4,3,4,0,2,2018,2,1
71,120.0,0,6,14,3,3,0,2018,1,1
58,116.1,1,6,10,4,1,0,2018,2,1
133,189.0,0,7,23,4,1,0,2018,3,0
27,152.67,0,6,26,4,1,2,2018,2,0
27,66.31,1,2,4,4,3,2,2018,2,1
9,95.0,2,9,10,4,1,0,2017,1,1
86,122.0,0,12,8,4,3,0,2018,2,0
13,58.0,0,12,17,3,3,0,2017,2,1
0,89.89,1,12,5,4,3,1,2018,2,1
5,156.0,1,6,21,4,2,0,2018,2,1
82,99.45,0,3,24,4,3,1,2018,2,1
330,172.8,0,8,31,4,2,0,2018,2,0
3,98.56,1,8,22,4,3,1,2018,2,1
35,71.1,0,3,10,4,1,0,2018,1,0
12,128.06,0,3,30,4,15,6,2018,1,0
0,0.0,0,11,19,1,1,0,2018,1,1
7,106.0,1,4,7,4,1,0,2018,2,1
47,130.61,1,9,27,4,4,0,2018,2,0
117,105.74,1,6,17,4,3,2,2018,2,1
2,136.0,1,6,10,4,2,0,2018,2,1
26,120.0,0,6,8,3,1,0,2018,2,1
75,74.8,1,12,2,4,2,2,2018,2,1
256,112.0,1,6,15,4,2,0,2018,2,0
137,121.5,2,8,21,4,0,1,2018,2,1
92,70.0,0,10,7,3,4,0,2017,2,1
1,75.0,0,11,29,3,1,0,2018,1,1
18,54.0,0,1,2,3,1,0,2018,2,1
78,100.0,0,3,25,4,2,1,2018,2,0
